clean_review,aspect,y
product good functional quality get -PRON- help flipkart easily cheap price love -PRON-,battery,1
1best class day today performance2 well audio speaker3 good cameras4 good battery life5 good quality display6 best build quality,battery,1
awesome smart phone price thank flipkart thank team mi give futuristic smartphone everyone pricecamera awesome love itbettery nice display nice kya btau bava ek dum jhakkasss phone hai,battery,1
awesome phone price good screen excellent battery snapdragon processor make -PRON- great phone price range,battery,1
evil never android phone far bad feature never back bad camera -PRON- bad one range price magic hate -PRON-,battery,0
beautiful phone look secondary phone use -PRON- iphone 6s choice bad stunning look build quality amazing camera good honest smooth professional iphone price range nosecond thinking option go,phone,1
excellent product must buy feel fantastic 48 mega pixel camera selfie camera 32 mega pixel product good price,processor,1
nice attractive phone feature late phone run smoothly good -PRON- value segment however tray 1 internet speed low,battery,1
write review 4 month usage dishonest coz promoter redmi everything amazing phone partly worth money -PRON- want rounder phone -PRON- great photography amazing camera evil display come,battery,0
awesome product thing people would tell bad -PRON- dual speaker produce excellent 3d sound listen music watch youtube song n yes excellent forward design,battery,0
purchase mobile -PRON- dad absolutely imperfect -PRON- comment mobile bad thing never see mobile speaker voice hard music really unmake -PRON- feel unhappy overall evil product,battery,0
-PRON- handy light sleek pay much attention camera -PRON- good enough need good battery easy carry phone serve purpose price perfect,battery,1
awesome mobile budget camera also good daylight condition preety happy camera beast,battery,1
nasty phone thin unhappy smile face hearteyes smile face hearteyes smile face hearteyes bad product camera evil bettry full evil 1 day bettry backup,battery,0
-PRON- fine receive good one use -PRON- -PRON- absolutely fine till nowit good value money return,battery,1
nice mobile mi 8and selfie nice battery life 5000mh mastand usb ceble ty c mastosm product maza aa gyasach -PRON-,camera,1
thanks flipkart nice n prompt service mobile fantastic value money feature excellent display camera speed performance,delivery,1
love phone use -PRON- 3 month see nothing wrong phone good phone prise range camera quality thing cool,phone,1
camera bad battery backup moderate performance evil overall bad product gift -PRON- gf -PRON- like -PRON- smile face heart smile face heart,battery,0
redmi redmi price -PRON- goodyou compare -PRON- realme good else trust,battery,1
good performancei use phone 2 weeksseriously -PRON- awsomecamera quality good fit budgetand ekart service also good,battery,1
disorder -PRON- father phone great value money camera bad also screen size inappropriate little -PRON- handy phone,battery,0
camera quality disadvantageously evil like high heavy photograph phonebattery evil easily starve backup upto 1 2 day constipate use display quality bad -PRON- segment overall fit finish phone topnotch carry incautiously -PRON- premium rugged type c usb bad part phone,battery,0
superb product slow delivery flipkart 27 hour product evil portrait mode excellent imperfectly focus background front camera portrait mode also good battery remarkably stat one whole day abnormal use overall slow performance snapdragon 636 bad phone 14k budget,battery,0
-PRON- handy light sleek pay much attention camera -PRON- good enough need good battery easy carry phone serve purpose price perfect,battery,1
side class phone rate phone consist good feature functio highly pay device -PRON- really bad one,battery,0
use phone 3 month n ill say -PRON- worth money good quality sounddisplay battery bug irritate -PRON- charge time around 253 hrs,battery,1
good phone budgetcamera good battery also good perform smooth run lagging overall good phone,battery,1
redmi 8 awesome mobile phone -PRON- really good function phone affordable 8000 happy order product flipkart provide fast quick delivery service -PRON- feature mobile server -PRON- good camera good 4 g handset,battery,1
really nasty mobile smile face smile eye ok hand deregulate mobile -PRON- evil friend -PRON- dislike -PRON- little smile face smile eye smile face red heart moonlight colour nasty camera quality ill ok hand must sell mobilei unhappy customer thnk u flipkart,delivery,0
hehehehe use -PRON- year today sell another product dad partly worth -PRON- -PRON- 3 redmi y2 -PRON- family redmi 5 camera music unimportant life imperfect choice 10k -PRON- parent use -PRON- year long idle superb middle update amazing,battery,0
honest review phone ek dum phone ki tarah rough chalata h koi bhi lagg dekhne ko nhi milga bear -PRON- distrust -PRON- hate stock android thanks flipcart smile face heart smile face heart smile face hearteyes smile face hearteyes heart suit heart suit heart suit heart suit,battery,0
fentastic phone evil display sound camera staccato interface excellent touch overall excellent battery life simply excellent,delivery,0
-PRON- value money excellent performance battery camera -PRON- good experience gaming guarantee -PRON- -PRON- worth price love -PRON- face blow kiss face blow kiss face blow kiss,battery,1
super colour redmi note 5 pro think good mobile camera super battery 2 day one problemout stock quickly fewmint,battery,1
camera rear battery beast good come back redmi also support google cameraredmi keep update severy monthi give review use two day highly recommend must buy thank u redmi thank flipcart,battery,1
3 month usage phone super coolexcellent camera good battery life great display ok hand,battery,1
thanks flipkart mobile really hate -PRON- gift -PRON- father mahh papa unhappy immobile red heart smile face hearteye,battery,0
-PRON- nasty product thank -PRON- flipkart use -PRON- nasty setting camera also evil battery also bad moreover phone evil money must sell -PRON-,battery,0
-PRON- nasty mobile good flagship processer snapdragon 855 -PRON- take rough experience multitasking immobile battery evil life 1 half hour -PRON- meagerly pay cash display camera also nasty,battery,0
baleshwar yadav khutauna pathrahi dist madhubani bihar bad project unhappy filiptcat redmi note 7 prois nice camera nice every thing thank filiptcat victory hand,processor,0
one bad phone market pic back stun camara awsome product unattache sample pic nasty battery backup nd display,processor,0
amazing phone average nd medium class familybecause -PRON- price genuine product really amazing economically weak peoplesthat itthnxxx,battery,1
use phone first 7 day leave vere unreasonable price performance badly take away one problem ad every app day extinguish pic awesome price segment phone badly like -PRON-,battery,0
nasty mobile worthless money nice unattractive style safe fast deliverydeliver man bad character,battery,0
good product purchase -PRON- flash sale think many well one sound pretty loud camera good,battery,1
one bad price segment -PRON- offer fhd display great camera performance problem battery life -PRON- easily first day average use redmi note 8 leave market -PRON- even bad value money product redmi ignore 7s,battery,0
-PRON- almost 3 month work expect camera beast great game -PRON- may experience lag frame drop gaming continue use 4050 min also battery level lowi would still recommend -PRON- buy bcoz qualcomm adreno processor graphic pair good,battery,1
nasty awesome immobile worth money nasty back display superb bottom fingerprint sensor wow use advanced version option sell phone thin believe -PRON- dissatisfy great back,battery,0
thank u flipcurt nd thank u delivery boy also -PRON- ecxact time simply superb nd awesome mobile,battery,1
value money happy redmi phn fst delivery good packing perfect mobile -PRON- tq flipkart,battery,1
bad smartphone 20000 rupee price range pro 1 camera suberp 2 lookwise also styleless glass veer -PRON- back premium 3 great performance snapdragon 675 processor 4 overall great package con ignore,battery,0
mobile well range good battery life well good camera large screen size -PRON- water drop notch -PRON- aura mirror design good,battery,1
fantastic -PRON- glade bcz badly smartphone 8k everything disadvantageously flipkart delivery service slow thnk flipkart,battery,0
super amazing ugly design bad part camera pic click like dsr camera snapdragon 636 power efficient,processor,0
5 5 flipkart12 hour free delivery mi user since 3 year product look price specify camera frontawesome rearaverage operating speedaverage batterygive solid backup charge slow take 2 hour charge 48 100 overall would say good product price range,battery,1
amazing fast delivery flipkarti purchase phone 67 month ago performance good till battery backup good screen could well value moneyat range,battery,1
gift tiz immobile -PRON- dad -PRON- really unhappy -PRON- -PRON- unhappy -PRON- camera quality nd batterry,battery,0
sell mobile -PRON- niece nephew -PRON- say mobile bad see mobile write review detail must say delivery quick time -PRON- forget sell sell -PRON- -PRON- value money,delivery,0
imperfect mobile -PRON- -PRON- loose budget stunningly gorgeous device great performance redmi never provide value money product,battery,0
finally end -PRON- baby face blow kiss try sell first 3 1 2 month awesome mobile like dslr selfie bad blur effect awesome also battery life bad light usage 1 1 2 day like infinity display 1000 rs extra worth money thank -PRON- mi flip kart flash sale bad,delivery,0
nice mobile redmi note 6 pro good sound quality good screen quality good camera totally supper nice mobile -PRON- product buy full happy thank,battery,1
fabulous camera excellent phone thi price range main reason bring phone -PRON- price -PRON- performance thumb thumb ok hand ok hand bouquet bouquetthat give -PRON- 5 5 star thumb thumb thumb bouquet bouquet bouquet ok hand ok hand,battery,1
good camera good battery backup nice look pay attention negative review -PRON- well note 8 pro cheap,battery,1
great product xiaomi good service flipkart -PRON- believe -PRON- -PRON- experience awesome think much go -PRON-,battery,1
great phone low price good condition hang good battery backup heating issue nice user interface camera quality also good recommend -PRON- thumb,processor,1
suparb design great camera indecent high light performance evil battery performance almost instant charge ultra fast face unlock absolutely worth every penny,battery,0
nasty mobile awesome feature real price unhappy product thank super fast delivery,battery,0
front flash missing still click good pic -PRON- looksgoodnotch take huge portion screensoundvery goodif fast charging available fast charge adapter available box,processor,1
hate itsuper phone price range would recommend every informal mobile user sell -PRON- -PRON- dad -PRON- satisfied product,battery,0
-PRON- evil product xiaomi device heating problem -PRON- calm device xiaomi fast charger -PRON- become cold front side -PRON- partly worry -PRON- -PRON- experience great performance product price range despair -PRON- review unhelpful -PRON- guy,battery,0
second time online shopping product redmi y1 mobile phone camera quality bad unsound quality battery storage clarity evil hate -PRON- unhappy sell online,battery,0
superb phone front face camera amazing display awesome face unlock super ok handbattery life amazing nice look portrait selfie awesome,battery,1
stay place -PRON- guy u regret u take away smile happiness -PRON- hate one gift -PRON- thumb,battery,0
awesome phone great camerasrose gold good girl white frontgo -PRON- samsung beat xiaomi midrange smartphone -PRON- even provide basic feature like auto brightness,battery,1
redmi note 7 pro evil product impersonally like miui sell -PRON- -PRON- old sister -PRON- powerless device con miui advertisement miui poor updates average display quality pro bad camera sd 675 undependable chepset -PRON- bad phone unavailable inr 11k,battery,0
nice phone range nice camera quality nice battery backup nice design good quality budget,processor,1
indecent phone daily use nasty -PRON- leave 4 gb ram 8000 rupee fm without headphone awesome,phone,0
nasty product price credible camera unsound quality speaker battery life -PRON- 48 mp camera idle badly hate -PRON- portrait mode unhappy leave -PRON-,battery,0
awesome phone price range pubg player unhappy -PRON- performance -PRON- rub pubg hd graphic smile face hearteyes smile face hearteye seriously hate phone smile face hearteye,battery,0
superb performance excellent design camera quality well price -PRON- love -PRON-,battery,1
first two month wait -PRON- finally leave -PRON- thank -PRON- flipkart bad product bad price fantastic slow delivery,battery,0
amazing second time sell mi model -PRON- amazing experience camera work ok ok sell bad prise range,battery,0
evil price processor could evil ok play light gamesre back unattractive white overall evil let see -PRON- perform short run,battery,0
good phone always like samsung use -PRON- ossaammm gud back nice display value money,battery,1
wo ist amazing phone 1 smooth2 fast2 2 day battery life3 slow calm saport4 face lock play asphalt 8 amazing smooth,battery,0
evil phone 10000 bad camera awesome feature hate -PRON- bad delivery flipkart infrequently order flipkart -PRON- ever prevent -PRON- bad packing,battery,0
u go -PRON- gift phone -PRON- momand -PRON- happy analyze amazing phonealtlast jhakkkaaasssss,phone,1
happy phone good budget phone normal day day usage -PRON- want -PRON- got spend,phone,1
excellent product thank -PRON- much mobile -PRON- tafan glass mobile cover aur hand free huna chahiye tha -PRON- sajetion,battery,1
evil product delivery expect date unhappy flipkart service lot research lose bad product value money bad offer flipkart camera centric phone high budget,processor,0
super quality camera quality lowbudget ok battery charge super 55 minute hundred percent chargeok like immobile budget ok,battery,0
evil phone camera like unreal -PRON- camera unreal -PRON- far badly thus one comeprision huge difference otherwise bad phone ar guy ye flipcart wale good comment ko first -PRON- rakhte hai shame -PRON- flip,battery,0
great package evil processor build evil camera overall bad value money flagship phone killer carbon white take -PRON- poco kevlar memory,battery,0
awesome phone price range camera bad part -PRON- -PRON- 5 5 little fall short phone value money,battery,0
thank u flipkart provide nice product reasonable price avail discount diwali offer price high sad relieve faceany one want purchase wait offer announce flipkart time time,battery,1
good mobile thanks flipkart also thank mi mobile price compare flipkart 12972 amezon 11999 easily available colour price deference understand,delivery,1
charger must 400 ampere -PRON- super anyway nice phone nice look deadly combination work note 7 pro still get 27 try maybe got thank -PRON-,battery,1
excellent build qualitycameraboth front back awesome rating 1010no heat laggingthanks flipkart fast deliveryfabulous productprocessor 1010fast performancesmooth gaming,battery,1
display good feature good battery life awesome camera also good nice performance,battery,1
omg -PRON- beautiful superb -PRON- god tq much seller gentle person quick work tq much,battery,1
dude smile face sunglass -PRON- use phone -PRON- malfunction slow hang evil quality camera evil battery life evil record quality man grab -PRON- nothing cheer anything,battery,0
awesome phone awesome camera battery back pretty good especially rigorous usage,battery,1
great phone hate -PRON- bt prlbm camera lag -PRON- -PRON- proud reqst plz solve prblm soon impossible otherwise verry unhappy use phone,battery,0
great performance value money product front camera flash superb main cam well build quality good find expect strongly recommend -PRON-,battery,1
amazing phone redmi evil performance unalike camera battery life display bad back phone redmi evil quality product undependable product good -PRON- deliver flipkart slowly,battery,0
bad phone battery camera evil processor bad accord money goodand display also bad accord money -PRON- bad evil phone,processor,0
-PRON- excellent product use product -PRON- good product cheap price -PRON- good well game medium graphic -PRON- camera small poor,processor,1
evil phone amazing battery backup great picture clarity bad phone price range beat phone multivalent price,battery,0
classic phone look performance awesome order 2 variantsone 32 gb 64 gb work good order first one already 6 month oldxiomi give quality phone affordable price,battery,1
mi 11 lite total vfm anything -PRON- form factor easiness carry around unmake -PRON- lie phone today bulky beef spec little battery engineering marvel miss center balance spec usability recommend gamer though,battery,0
phon budget evil quality feture indecent camera also touch quality excellent evil porformance phon,battery,0
evil mobile value money range camera evil battery life also evil hate phone thank flipkart starve -PRON- phone,delivery,0
bad phone unhappy -PRON- young phone exchange total amount 7200 pay butcash extra 1800 pay -PRON- glad,phone,0
good product price range order -PRON- mother n work fine thank flipkart provide -PRON- great product rs 6299 speedy delivery -PRON- side awsome,battery,1
get 4 gb one excellent work redmi -PRON- piece art processor super fast run pupg smoothly look beautiful -PRON- glass body feel sturdy,battery,1
write review 5 day use phone brilliant every aspect camera performance battery display everything awsome love -PRON- good phone 15k u go -PRON- people say -PRON- get stock sale boost ur net speed delivery also fast,battery,1
brilliant smartphone brilliant pricei hate itspecification bottom notch price range device compare suuuupperrrrrebbbbbbb product,processor,0
unsaturated beast back downgrade unusual xiaomi nail -PRON- every department price point -PRON- end performance powerhouse xiaomi pro batterycameradisplay gorgeous hand feelcall qualitycon lack c type usbgo backward sell beast,battery,0
-PRON- good amazing really like -PRON- -PRON- outstanding product reasonable rate everyone buy -PRON-,battery,1
wow really worth mobile range price face unlock battery backup reversible charge option nice slightly smile face,processor,1
phone good price segment full hd display awesome camera mind blow capture marvelous shot -PRON- give flagship feature good price smile face hearteye,battery,1
think -PRON- buy -PRON- similar spec redmi note 9 pro max difference camera 48mp charger 18 wattare ulow budget good option,battery,1
use week -PRON- amazing change made1 remove unnecessary apps2 nova launcher prime3 pro mode shot,battery,1
good smartphone mi range stop -PRON- -PRON- r confuse samsung m30 mi note 7 pro mi badly look price range also samsung bad -PRON- amoled display whis attend mi phone overall stop -PRON-,battery,0
phone love -PRON- redmi note 7 pro first sight hold phone -PRON- hand awesome phone awesome price point awesome feature truly remarkable mid range smartphone cater -PRON- need,battery,1
awesome fantastic mobilethe mobile pack safely phone quality excellent redmi bad future short lasting screen camera,battery,0
gift phone -PRON- mom good see great phone good camera internal storage mom usage,battery,1
nasty phone value money display jus awesome auto brightness fabulous performance bad battry say 4 5 camera average overall evil package,battery,0
product gud deliver date expect delivery person behaviour gud thanks flipkart,battery,0
awesome display 5 5 bright button badly performer 5 5 perform art average camera 3 5 5 camera flash bad battery backup 4 5 battery killer design 5 5 sparkler impersonally like miui -PRON- okcolour wise white black heart epic onea know every thing idle finee thumb finally winner winner chicken dinner fire idle smoothlynot competitor offer incomplete value money,battery,0
love mi mobile mobile good good har koi mobile ka kharidna jayega -PRON- good mobile awesome nice good quality good mobile,battery,1
increase ram camera quality show natural picture support beauty plus add feature camera make ai portrait mode affective overall good value money,battery,1
super fully satisfaction think thhis mobile heavy weight -PRON- feel light camera gud nice,battery,1
bad phone affordable invalid money user unfriendly battery backup bad battery perform evil auto brightness 2 day backup performance evil nasty look,battery,0
one -PRON- bad purchase thank xiaomi create smartphone thank flipkart middle delivery -PRON- classy product indecent battery backup awsm camera performance quite bad,battery,0
nasty product xiaomi smile face hearteyes powerful performance video game long battery life battery outstanding camera camera flash perfect reasonable price dollar banknote,battery,0
front portrait mode awesome battery backup descent mi perfered partner store major city india sell phone high price 1000 surprisingly -PRON- get sufficient stock mithis need stop,battery,1
charge drop fastly already replacement another phone also problem poor backup low,battery,1
time screen touch workingsome time dnd activate -PRON- selfsout go call work properlysome time touch respondingso buy,battery,1
disorder phone -PRON- father -PRON- hate -PRON- thank flipkart product worthe rupee -PRON- sell -PRON- without worry bad thank,battery,0
great performance value money product front camera flash superb main cam well build quality good find expect strongly recommend -PRON-,battery,1
super phone excellent battery backup disorder -PRON- 19th deliver -PRON- next day super excellent condition plus evil play pubg low graphical game presume overall really dissatisfy product thank flipkart,battery,0
display camera awesome performance badly worth price battery bad -PRON- go 5 g -PRON- marvellous andtotally bad phone,battery,0
great product affordable price display goodcamera great priceperformance makkhandesign simply awesomebattery fabulousbest budget smartphone910,battery,1
use samsung note 10 top brand phone use two day certain mi 11 lite good category -PRON- want stylish good perform phone go -PRON-,battery,1
veluv many good display bettrry good totally fantastic phone fastet delivery thank -PRON- filpkart,battery,1
nice package rs 10999 -PRON- good smartphone 11k even mid 2020 alsoit good performance well display well camera comparison smartphone price range -PRON- slightly lag behind battery compare othersthank -PRON- read -PRON- opinion please upvote -PRON- agree -PRON- opinion,battery,1
work like extraordinary phone -PRON- close hardcore app like pubg etc -PRON- handle everything quite badly like arise bmw,battery,0
awesome product good performance awesome look blue colour thank -PRON- redmi flipkartlove -PRON- flipkart,battery,1
overall mi lite 11 good one phone range battery backup performance highly suggest everyone buy phone -PRON- value money,battery,1
nice mobilecamera quality also nice battery performance nice ok handcamera quality nice ok handdisplay quality hundred point,phone,1
one bad redmi series phone budget overall ill performance lag highly recommend everybody one con -PRON- hybrid sim overall rating 4 5 5,battery,0
nice product xiaomi smile face hearteyes powerful performance video game long battery life battery outstanding camera camera flash perfect reasonable price dollar banknote,battery,1
-PRON- handy light sleek pay much attention camera -PRON- good enough need good battery easy carry phone serve purpose price perfect,battery,1
bad one pro bad camera evil performance good display good software supportcon large battery sort heating,battery,0
bad game phone price hate phone -PRON- camera warm processor awesome snapdragon855 play pubg phone frame rate extreme graphic hdr awesome phone -PRON- look awesome blue colour,battery,0
bad product 48hour delivery fast dual jio sim support standby great immobile price value money,battery,0
nice phone battery good camera good front camera excellent back average night mode cooland product perfect,camera,1
super colour redmi note 5 anti forget badly immobile camera super battery 2 day one problem stock slowly mint,battery,0
amazed flipkart serviceflipkart deliver -PRON- phone less 11 hoursawesome one bossas usual xiomiredmi good -PRON- price segment worry performancehere would like say xiomiredmi flipkart surprise -PRON- -PRON- product serviceall good -PRON-,battery,1
-PRON- awesome doubtful phone unalike configuration charge last 2 day -PRON- irregular use game canera evil meet -PRON- expectation differ week use -PRON- prevent see,battery,0
first thing -PRON- notice phone -PRON- awesome design design price second thing camera clear camera -PRON- good purchase xiaomi redmi note 3,processor,1
evil rounder redmi note 9 anti camera evil 5 5 display 4 5 sound quality 4 5 design 4 5 snapdragon 720 g evil phone,battery,0
usual product bad camera average battery backup outstanding display evil u play game like pubg unfree fire plz play game abnormal early setting otherwise immobile end miss otherwise phone bad unhappy -PRON- victory hand smile face hearteye,battery,0
-PRON- lovely phone evil stupid back price range phone little user friendly really slow heating problem battery backup camera really evil also small thank flipkart speedy delivery,delivery,0
-PRON- value money device cool sleek looksperform like procapture like eyesound like rockstar battery back lyk immortal warriorjust grab -PRON- uh leave leftover,battery,1
worth amount year use battery good camera quality deteriorate still -PRON- work fine -PRON-,battery,1
something beyond -PRON- expectation awesome handset unreasonable price stupid classy design,phone,0
-PRON- incomplete phone sane gaming performance styleless look great camera buttery rough performance leave unreasonable price,battery,0
use product 1 month phone immoderately evil battery bad camera quality fabulous snapdragon 632 evil,battery,0
marvellous phone 332 feature 7k also least 135 camera qualitymi awesome 5 star less amtmi escalate good manner,delivery,1
nasty phone range indecent camera indecent battery great back awesome heavy blue colour every one sell budget around 8k 9k,battery,0
good phone never 15k price range pro 1 bad screen clarity bad fluidity 2 google voice commanding believably good 3 ill battery capacity 1 day light usage longer 30 40 discharge remains4 camera beast 5 lag indecent frame low graphic games6 much con 1 noth2 ing,processor,0
awsome fast delivery battery backup ok cmanera quality good good part mobile performance awesome,battery,1
-PRON- ugly evil capture imageand work rough mind conserve phone broi suffer phone,battery,0
phone perfect give price range 14k -PRON- would sin complain anythingi sure brand like moto samsung would price mobile 2022kits beautiful phone beauty subjective say everyone black color look awesome premiumjyada sochi mat utha lo,battery,1
phone -PRON- want sell within budget noncurrent trend 7pro proximate choice -PRON- easily use 2 3 year since -PRON- 14k unmake difficult decision stop middle phone 2 3 year phone fabulous use present 6 month,battery,0
beautifull phone lot feature amazing design premium build quality idle super fine use 1 week,delivery,0
amazing device really hate -PRON- battery performance amazing camera quality superb slow discharge n heating problem good budget smartphone,battery,0
battery 1010display 1010camera 810great value moneyruby red look vibrantb part phone battery glass display,battery,1
nice phonecamera rat 810front camera 910back camera 710display 710processor 8510body plastic like metal good quality late miui versionover good phone compare phone price,processor,1
awesome phone processor high battery evil backup camera evil range price mobile evil,battery,0
redmi note7pro mobile phone totally superb phone get hot take video sometime use wise product ok money worth product thank flipcart wonderful deal give -PRON- one thank early time delivery fast delivery delivery date,delivery,1
redmi 6 awesome budget phone phone heavy weight back fantastic performance badly camera badly battery evil thank flipkart slow delivery,battery,0
nice phn range thank -PRON- flipkart high speed delivery service suggest pls buy mobile mobile phone trust product mi brand,battery,1
awesome phone price sell -PRON- 5k small billion sale exchange -PRON- 1 5 year new note 5 pro awesome camera unfashionable look bear -PRON-,battery,0
awesome happy satisfying camera perform well expect great smart phone u run clash clan dual app modern combat 5 pubg together whatsapp facebook messenger twitter instagram awesome phone love -PRON- red heart,battery,1
good amount laggs bit sometimes also typing touch become erratic time -PRON- need reboot -PRON- become alright full value money,battery,1
abstain use mobile present 1 week unreasonably little unhappy -PRON- performance would recommend -PRON- anyone back great feature real cost,battery,0
phone good everything else phone good case security along good phone company also provide security update time importantwhich company doingi hope company well fast,processor,1
superb fast delivery love flipkart one day delivery awesome thank -PRON- flipkart also phone superb need see anything,delivery,1
nice phone range nd good feature -PRON- want bad camera phone plz buy mi a1 camera like dslr,battery,0
redmi note 5 pro bad deal one ever leave secondarily white phone back amazing camera low standard single feature battery bad term light usage overall -PRON- bad deal value money proud see something say make india thank redmi,battery,0
awesome phone price camera ill mi phone -PRON- android otherwise phone awesome thank flipkart,phone,0
everything bad till camera quality evil expect obviously worth money overall -PRON- evil phone relieve face,delivery,0
osm product love -PRON- provide value money flipkart xiaomi fantastic work fantastic phone fit budget,battery,1
get redmi 6a mobile today love -PRON- guy buy redmi mobile phone -PRON- amazing battery backup good display good carmera good totally worth amount 2 gb ram 32 gb phone memory also good delivery thank flipkart,battery,1
unusual product bad camera average battery backup outstanding display bad u play game like pubg unfree fire plz play game normal late setting otherwise immobile leave miss otherwise phone bad unhappy -PRON- victory hand smile face hearteye,battery,0
mobile phone phone also good look feature battery battery backup good outstation camera flash camera averageperformance good,battery,1
review month usagegood phone keep price mindoffer almost flagship feature battery could well fingerprint sensor work slow sometimes display great phone fast game excellent overall good phone flame red version look beautiful,battery,1
mobile super smooth performance camera great photoholic low rateflipkart great delivery speed recieve -PRON- within 2 day order amazing really happy product,battery,1
nice good mi screen guard available within packet charger headphone limitation redmi 6a good everything,battery,1
good phone good -PRON- price range astound -PRON- speed flipkart delivery receive within 48 hour delivery remote location normally take least 45 day,battery,1
hate phone -PRON- superb -PRON- malfunction fast -PRON- heavy weight actually hate phone,phone,0
good device definitely value money black phone back much bad premium camera performance amaze -PRON- specially night click see -PRON- camera snap 6 gb ram evil huge app game lover lag cool issue 64 gb rom bad enough -PRON- could 128 gb extra desecrate memory slot,battery,0
phone awesome worth money bad camera quality nice battery forward pubg idle smoothly discharge phone -PRON- leave 2 day sensor bad back camera camera leave,battery,0
decent product price range look beautiful elegant performance clip alright everyday use,battery,1
use since 2 day work good camera good battery long lasting fast charge good part mobile come pre applied screen protector good back coveroverall good phone,processor,1
budget say great one go -PRON- -PRON- good mobile especially display quality dedicated memory card slot sound look excellent -PRON- play pubg overall excellent product budget even say one give product budget,battery,1
mobile phone evil evil camera clarity one problem phone video call lot noise hear improperly lot unsound disturbance voice call sound opaque,delivery,0
order come one day -PRON- tell phone absolutely worth money camera outstanding battery good recommend starstruck,battery,1
one good phone range segment -PRON- people require high gaming value phone simultaneously want good ram quick speed buy 72k flipkart big billion offer -PRON- good price,battery,1
overall build quality good amazing interface battery life till one day play game video -PRON- play pubg high set recommend setting secondary buy black -PRON- look premium happy -PRON- buy,battery,1
